Age Group,Vaccination Date,Doses Administered,
65-79 years,12/14/2020,24,
65-79 years,12/15/2020,309,
65-79 years,12/16/2020,958,
65-79 years,12/17/2020,1438,
65-79 years,12/18/2020,2052,
65-79 years,12/19/2020,1013,
65-79 years,12/20/2020,500,
65-79 years,12/21/2020,1532,
65-79 years,12/22/2020,2131,
65-79 years,12/23/2020,2958,
65-79 years,12/24/2020,1906,
65-79 years,12/25/2020,326,
65-79 years,12/26/2020,1740,
65-79 years,12/27/2020,1123,
65-79 years,12/28/2020,6725,
65-79 years,12/29/2020,10781,
65-79 years,12/30/2020,17578,
65-79 years,12/31/2020,11109,
65-79 years,1/1/2021,1526,
65-79 years,1/2/2021,6710,
65-79 years,1/3/2021,4042,
65-79 years,1/4/2021,18166,
65-79 years,1/5/2021,19742,
65-79 years,1/6/2021,22238,
65-79 years,1/7/2021,26186,
65-79 years,1/8/2021,26845,
65-79 years,1/9/2021,15186,
65-79 years,1/10/2021,4518,
65-79 years,1/11/2021,24081,
65-79 years,1/12/2021,29665,
65-79 years,1/13/2021,30888,
65-79 years,1/14/2021,36259,
65-79 years,1/15/2021,31051,
65-79 years,1/16/2021,25718,
65-79 years,1/17/2021,6760,
65-79 years,1/18/2021,12493,
65-79 years,1/19/2021,23282,
65-79 years,1/20/2021,34125,
65-79 years,1/21/2021,34463,
65-79 years,1/22/2021,32750
65-79 years,1/23/2021,22100,
65-79 years,1/24/2021,9079,
65-79 years,1/25/2021,27712,
65-79 years,1/26/2021,39231,
65-79 years,1/27/2021,49174,
65-79 years,1/28/2021,50972,
65-79 years,1/29/2021,48470,
65-79 years,1/30/2021,24277,
65-79 years,1/31/2021,7460,
65-79 years,2/1/2021,39367,
65-79 years,2/2/2021,54802,
65-79 years,2/3/2021,61690,
65-79 years,2/4/2021,72748,
65-79 years,2/5/2021,74298,
65-79 years,2/6/2021,50550,
65-79 years,2/7/2021,15399,
65-79 years,2/8/2021,38532,
65-79 years,2/9/2021,54922,
65-79 years,2/10/2021,66042,
65-79 years,2/11/2021,55947,
65-79 years,2/12/2021,68536,
65-79 years,2/13/2021,34523,
65-79 years,2/14/2021,11349,
65-79 years,2/15/2021,2820,
65-79 years,2/16/2021,5708,
65-79 years,2/17/2021,7403,
65-79 years,2/18/2021,15013,
65-79 years,2/19/2021,25462,
65-79 years,2/20/2021,31371,
65-79 years,2/21/2021,23634,
65-79 years,2/22/2021,41306,
65-79 years,2/23/2021,48844,
65-79 years,2/24/2021,70001,
65-79 years,2/25/2021,89153,
65-79 years,2/26/2021,103378,
65-79 years,2/27/2021,61054,
65-79 years,2/28/2021,23965,
65-79 years,3/1/2021,44524,
65-79 years,3/2/2021,68826,
65-79 years,3/3/2021,67805,
65-79 years,3/4/2021,70410,
65-79 years,3/5/2021,65792,
65-79 years,3/6/2021,33283,
65-79 years,3/7/2021,8320,
65-79 years,3/8/2021,28366,
65-79 years,3/9/2021,48508,
65-79 years,3/10/2021,55819,
65-79 years,3/11/2021,58539,
65-79 years,3/12/2021,48256,
65-79 years,3/13/2021,22668,
65-79 years,3/14/2021,7783,
65-79 years,3/15/2021,26815,
65-79 years,3/16/2021,33509,
65-79 years,3/17/2021,27958,
65-79 years,3/18/2021,34025,
65-79 years,3/19/2021,32787,
65-79 years,3/20/2021,18205,
65-79 years,3/21/2021,1176,
